cmip6-id, cmip6-label, cmip6-type
cmip6.seaice.grid.discretisation, Seaice > Grid > Discretisation, property-set
cmip6.seaice.grid.discretisation.horizontal, Seaice > Grid > Discretisation > Horizontal, property-set
cmip6.seaice.grid.discretisation.vertical, Seaice > Grid > Discretisation > Vertical, property-set
cmip6.seaice.grid.seaice_categories, Seaice > Grid > Seaice Categories, property-set
cmip6.seaice.grid.snow_on_seaice, Seaice > Grid > Snow On Seaice, property-set
, , 
cmip6.seaice.key_properties.variables, Seaice > Key Properties > Variables, property-set
cmip6.seaice.key_properties.seawater_properties, Seaice > Key Properties > Seawater Properties, property-set
cmip6.seaice.key_properties.resolution, Seaice > Key Properties > Resolution, property-set
cmip6.seaice.key_properties.tuning_applied, Seaice > Key Properties > Tuning Applied, property-set
cmip6.seaice.key_properties.assumptions, Seaice > Key Properties > Assumptions, property-set
cmip6.seaice.key_properties.conservation, Seaice > Key Properties > Conservation, property-set
, , 
cmip6.seaice.thermodynamics.salt.mass_transport, Seaice > Thermodynamics > Salt > Mass Transport, property-set
cmip6.seaice.thermodynamics.salt.thermodynamics, Seaice > Thermodynamics > Salt > Thermodynamics, property-set
, , 
