cmip6-id, cmip6-label, cmip6-type
cmip6.seaice.grid.discretisation.horizontal.grid, Seaice > Grid > Discretisation > Horizontal > Grid, detail
cmip6.seaice.grid.discretisation.horizontal.grid_type, Seaice > Grid > Discretisation > Horizontal > Grid Type, detail
cmip6.seaice.grid.discretisation.horizontal.scheme, Seaice > Grid > Discretisation > Horizontal > Scheme, detail
cmip6.seaice.grid.discretisation.horizontal.thermodynamics_time_step, Seaice > Grid > Discretisation > Horizontal > Thermodynamics Time Step, detail
cmip6.seaice.grid.discretisation.horizontal.dynamics_time_step, Seaice > Grid > Discretisation > Horizontal > Dynamics Time Step, detail
cmip6.seaice.grid.discretisation.horizontal.additional_details, Seaice > Grid > Discretisation > Horizontal > Additional Details, detail
cmip6.seaice.grid.discretisation.vertical.layering, Seaice > Grid > Discretisation > Vertical > Layering, detail
cmip6.seaice.grid.discretisation.vertical.number_of_layers, Seaice > Grid > Discretisation > Vertical > Number Of Layers, detail
cmip6.seaice.grid.discretisation.vertical.additional_details, Seaice > Grid > Discretisation > Vertical > Additional Details, detail
cmip6.seaice.grid.seaice_categories.has_mulitple_categories, Seaice > Grid > Seaice Categories > Has Mulitple Categories, detail
cmip6.seaice.grid.seaice_categories.number_of_categories, Seaice > Grid > Seaice Categories > Number Of Categories, detail
cmip6.seaice.grid.seaice_categories.category_limits, Seaice > Grid > Seaice Categories > Category Limits, detail
cmip6.seaice.grid.seaice_categories.ice_thickness_distribution_scheme, Seaice > Grid > Seaice Categories > Ice Thickness Distribution Scheme, detail
cmip6.seaice.grid.seaice_categories.other, Seaice > Grid > Seaice Categories > Other, detail
cmip6.seaice.grid.snow_on_seaice.has_snow_on_ice, Seaice > Grid > Snow On Seaice > Has Snow On Ice, detail
cmip6.seaice.grid.snow_on_seaice.number_of_snow_levels, Seaice > Grid > Snow On Seaice > Number Of Snow Levels, detail
cmip6.seaice.grid.snow_on_seaice.snow_fraction, Seaice > Grid > Snow On Seaice > Snow Fraction, detail
cmip6.seaice.grid.snow_on_seaice.additional_details, Seaice > Grid > Snow On Seaice > Additional Details, detail
, , 
cmip6.seaice.key_properties.variables.prognostic, Seaice > Key Properties > Variables > Prognostic, detail
cmip6.seaice.key_properties.seawater_properties.ocean_freezing_point, Seaice > Key Properties > Seawater Properties > Ocean Freezing Point, detail
cmip6.seaice.key_properties.seawater_properties.ocean_freezing_point_value, Seaice > Key Properties > Seawater Properties > Ocean Freezing Point Value, detail
cmip6.seaice.key_properties.resolution.name, Seaice > Key Properties > Resolution > Name, detail
cmip6.seaice.key_properties.resolution.canonical_horizontal_resolution, Seaice > Key Properties > Resolution > Canonical Horizontal Resolution, detail
cmip6.seaice.key_properties.resolution.number_of_horizontal_gridpoints, Seaice > Key Properties > Resolution > Number Of Horizontal Gridpoints, detail
